name,rank,year,rating,n_reviews,director
Побег из Шоушенка,1,1994,9.2,"2,733,291",Frank Darabont
Крёстный отец,2,1972,9.2,"1,900,568",Francis Ford Coppola
Темный рыцарь,3,2008,9.0,"2,706,418",Christopher Nolan
Крёстный отец 2,4,1974,9.0,"1,295,761",Francis Ford Coppola
12 рaзгневанных мужчин,5,1957,9.0,"808,833",Sidney Lumet
Список Шиндлера,6,1993,8.9,"1,379,975",Steven Spielberg
Властелин колец: Возвращение короля,7,2003,8.9,"1,880,184",Peter Jackson
Криминальное чтиво,8,1994,8.8,"2,100,354",Quentin Tarantino
Властелин колец: Братство кольца,9,2001,8.8,"1,909,095",Peter Jackson
"Хороший, плохой, злой",10,1966,8.8,"774,584",Sergio Leone
Форрест Гамп,11,1994,8.8,"2,126,873",Robert Zemeckis
Бойцовский клуб,12,1999,8.7,"2,176,067",David Fincher
Властелин колец: Две крепости,13,2002,8.7,"1,697,332",Peter Jackson
Начало,14,2010,8.7,"2,402,315",Christopher Nolan
Звёздные войны. Эпизод 5: Империя наносит ответный удар,15,1980,8.7,"1,315,779",Irvin Kershner
Матрица,16,1999,8.7,"1,949,966",Lana Wachowski
Славные парни,17,1990,8.7,"1,186,373",Martin Scorsese
Пролетая над гнездом кукушки,18,1975,8.6,"1,025,172",Milos Forman
Семь,19,1995,8.6,"1,689,761",David Fincher
Эта замечательная жизнь,20,1946,8.6,"470,581",Frank Capra
Семь самураев,21,1954,8.6,"351,669",Akira Kurosawa
Молчание ягнят,22,1991,8.6,"1,461,604",Jonathan Demme
Спасти рядового Райана,23,1998,8.6,"1,417,999",Steven Spielberg
Город Бога,24,2002,8.6,"768,440",Fernando Meirelles
Интерстеллар,25,2014,8.6,"1,896,772",Christopher Nolan
